observation_id,series_id,year,period,amount_m,status,budget_basis,coverage_id,segment,source_id,locator,selected
k12_expenses_2023,k12_operating_expenses,2023,2023-24,8463.23867,actual,not_applicable,k12_alberta_reporting_authorities,k12_2023_complete_aro_draft_northland,k12_2023_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_grants_2014,k12_operating_grants,2014,2014-15,6332.156736,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_pre_2018_reclassification,k12_2014_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2015,k12_operating_grants,2015,2015-16,6627.961281,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_pre_2018_reclassification,k12_2015_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2016,k12_operating_grants,2016,2016-17,6722.000323,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_pre_2018_reclassification,k12_2016_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2017,k12_operating_grants,2017,2017-18,6926.142065,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_pre_2018_reclassification,k12_2017_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2018,k12_operating_grants,2018,2018-19,6967.649524,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021,k12_2018_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2019,k12_operating_grants,2019,2019-20,6721.935073,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021,k12_2019_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2020,k12_operating_grants,2020,2020-21,7090.459252,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021,k12_2020_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2021,k12_operating_grants,2021,2021-22,7112.778464,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021,k12_2021_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2022,k12_operating_grants,2022,2022-23,7272.679524,actual,not_applicable,k12_without_valhalla,k12_2022_without_valhalla_aro,k12_2022_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
k12_grants_2023,k12_operating_grants,2023,2023-24,7663.506403,actual,not_applicable,k12_alberta_reporting_authorities,k12_2023_complete_aro_draft_northland,k12_2023_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True
postsec_ug3_expenses_2023,postsec_operating_expenses,2023,2023-24,502.428,actual,not_applicable,postsec_undergrad3,ug3_fiscal_2023_2024,postsec_ug3_2024_25_financials,Components in undergraduate3_expense_components.csv; sum all 3 expense totals less tangible/intangible amortization and separately identified capital disposal loss,True
postsec_ug3_expenses_2024,postsec_operating_expenses,2024,2024-25,540.755,actual,not_applicable,postsec_undergrad3,ug3_fiscal_2023_2024,postsec_ug3_2024_25_financials,Components in undergraduate3_expense_components.csv; sum all 3 expense totals less tangible/intangible amortization and separately identified capital disposal loss,True
postsec_grants_2012_ar2012,postsec_operating_grants,2012,2012-13,2242.732,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2012_2013,ae_ar_2012,"PDF p71, Funding Provided to Post-Secondary Institutions table, Operating Grants 2013 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2012_ar2013,postsec_operating_grants,2012,2012-13,2223.784,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2012_2013,ae_ar_2013,"PDF p68, Funding Provided to Post-Secondary Institutions table, Operating Grants 2013 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2013_ar2013,postsec_operating_grants,2013,2013-14,2138.075,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2012_2013,ae_ar_2013,"PDF p68, Funding Provided to Post-Secondary Institutions table, Operating Grants 2014 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2013_ar2014,postsec_operating_grants,2013,2013-14,2138.075,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2012_2013,ae_ar_2014,"PDF p74, Funding Provided to Post-Secondary Institutions table, Operating Grants 2014 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2014_ar2014,postsec_operating_grants,2014,2014-15,2170.89,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2014,"PDF p74, Funding Provided to Post-Secondary Institutions table, Operating Grants 2015 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2014_ar2015,postsec_operating_grants,2014,2014-15,2139.437,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2015,"PDF p81, Funding Provided to Post-Secondary Institutions table, Operating Grants 2015 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2015_ar2015,postsec_operating_grants,2015,2015-16,2242.513,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2015,"PDF p81, Funding Provided to Post-Secondary Institutions table, Operating Grants 2016 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2015_ar2016,postsec_operating_grants,2015,2015-16,2242.513,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2016,"PDF p49, Funding Provided to Post-Secondary Institutions table, Operating Grants 2016 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2016_ar2016,postsec_operating_grants,2016,2016-17,2325.794,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2016,"PDF p49, Funding Provided to Post-Secondary Institutions table, Operating Grants 2017 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2016_ar2017,postsec_operating_grants,2016,2016-17,2325.794,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2017,"PDF p56, Funding Provided to Post-Secondary Institutions table, Operating Grants 2017 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2017_ar2017,postsec_operating_grants,2017,2017-18,2372.439,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2017,"PDF p56, Funding Provided to Post-Secondary Institutions table, Operating Grants 2018 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2017_ar2018,postsec_operating_grants,2017,2017-18,2372.439,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2018,"PDF p117, Funding Provided to Post-Secondary Institutions table, Operating Grants 2018 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2018_ar2018,postsec_operating_grants,2018,2018-19,2434.296,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2018,"PDF p117, Funding Provided to Post-Secondary Institutions table, Operating Grants 2019 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2018_ar2019,postsec_operating_grants,2018,2018-19,2434.296,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2019,"PDF p79, Funding Provided to Post-Secondary Institutions table, Operating Grants 2019 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2019_ar2019,postsec_operating_grants,2019,2019-20,2308.07,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2019,"PDF p79, Funding Provided to Post-Secondary Institutions table, Operating Grants 2020 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2020_ar2021,postsec_operating_grants,2020,2020-21,2162.768,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2021,"PDF p80, Funding Provided to Post-Secondary Institutions table, Operating Grants 2021 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2021_ar2021,postsec_operating_grants,2021,2021-22,2029.04,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2021,"PDF p80, Funding Provided to Post-Secondary Institutions table, Operating Grants 2022 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2021_ar2022,postsec_operating_grants,2021,2021-22,2029.04,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021,ae_ar_2022,"PDF p75, Funding Provided to Post-Secondary Institutions table, Operating Grants 2022 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2022_ar2022,postsec_operating_grants,2022,2022-23,1902.878,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2022_onward,ae_ar_2022,"PDF p75, Funding Provided to Post-Secondary Institutions table, Operating Grants 2023 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2022_ar2023,postsec_operating_grants,2022,2022-23,1950.82,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2022_onward,ae_ar_2023,"PDF p121, Funding Provided to Post-Secondary Institutions table, Operating Grants 2023 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2023_ar2023,postsec_operating_grants,2023,2023-24,2010.49,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2022_onward,ae_ar_2023,"PDF p121, Funding Provided to Post-Secondary Institutions table, Operating Grants 2024 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False
postsec_grants_2023_ar2024,postsec_operating_grants,2023,2023-24,2010.49,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2022_onward,ae_ar_2024,"PDF p104, Funding Provided to Post-Secondary Institutions table, Operating Grants 2024 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
postsec_grants_2024_ar2024,postsec_operating_grants,2024,2024-25,2085.226,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2022_onward,ae_ar_2024,"PDF p104, Funding Provided to Post-Secondary Institutions table, Operating Grants 2025 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True
