observation_id,series_id,year,period,amount_m,status,budget_basis,segment,source_id,locator,selected,public21_grants_m,excluded_banff_m,source_vintage_year,notes
postsec_grants_2016_ar2017,postsec_operating_grants,2016,2016-17,2325.794,actual,,department_programs_2014_2021,ae_ar_2017,"PDF p56, Funding Provided to Post-Secondary Institutions table, Operating Grants 2017 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2346.448,20.654,2017,Comparative column; may be restated.
postsec_grants_2018_ar2018,postsec_operating_grants,2018,2018-19,2434.296,actual,,department_programs_2014_2021,ae_ar_2018,"PDF p117, Funding Provided to Post-Secondary Institutions table, Operating Grants 2019 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2452.294,17.998,2018,Current-year actual column.
postsec_grants_2017_ar2018,postsec_operating_grants,2017,2017-18,2372.439,actual,,department_programs_2014_2021,ae_ar_2018,"PDF p117, Funding Provided to Post-Secondary Institutions table, Operating Grants 2018 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2390.046,17.607,2018,Comparative column; may be restated.
postsec_grants_2019_ar2019,postsec_operating_grants,2019,2019-20,2308.07,actual,,department_programs_2014_2021,ae_ar_2019,"PDF p79, Funding Provided to Post-Secondary Institutions table, Operating Grants 2020 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2325.77,17.7,2019,Current-year actual column.
postsec_grants_2018_ar2019,postsec_operating_grants,2018,2018-19,2434.296,actual,,department_programs_2014_2021,ae_ar_2019,"PDF p79, Funding Provided to Post-Secondary Institutions table, Operating Grants 2019 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2452.294,17.998,2019,Comparative column; may be restated.
postsec_grants_2021_ar2021,postsec_operating_grants,2021,2021-22,2029.04,actual,,department_programs_2014_2021,ae_ar_2021,"PDF p80, Funding Provided to Post-Secondary Institutions table, Operating Grants 2022 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2044.885,15.845,2021,Current-year actual column.
postsec_grants_2020_ar2021,postsec_operating_grants,2020,2020-21,2162.768,actual,,department_programs_2014_2021,ae_ar_2021,"PDF p80, Funding Provided to Post-Secondary Institutions table, Operating Grants 2021 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2179.354,16.586,2021,Comparative column; may be restated.
postsec_grants_2022_ar2022,postsec_operating_grants,2022,2022-23,1902.878,actual,,department_programs_2022_onward,ae_ar_2022,"PDF p75, Funding Provided to Post-Secondary Institutions table, Operating Grants 2023 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,1918.767,15.889,2022,Current-year actual column.
postsec_grants_2021_ar2022,postsec_operating_grants,2021,2021-22,2029.04,actual,,department_programs_2014_2021,ae_ar_2022,"PDF p75, Funding Provided to Post-Secondary Institutions table, Operating Grants 2022 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2044.885,15.845,2022,Comparative column; may be restated.
postsec_grants_2023_ar2023,postsec_operating_grants,2023,2023-24,2010.49,actual,,department_programs_2022_onward,ae_ar_2023,"PDF p121, Funding Provided to Post-Secondary Institutions table, Operating Grants 2024 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2027.53,17.04,2023,Current-year actual column.
postsec_grants_2022_ar2023,postsec_operating_grants,2022,2022-23,1950.82,actual,,department_programs_2022_onward,ae_ar_2023,"PDF p121, Funding Provided to Post-Secondary Institutions table, Operating Grants 2023 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,1966.709,15.889,2023,Comparative column; may be restated.
postsec_grants_2024_ar2024,postsec_operating_grants,2024,2024-25,2085.226,actual,,department_programs_2022_onward,ae_ar_2024,"PDF p104, Funding Provided to Post-Secondary Institutions table, Operating Grants 2025 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2101.387,16.161,2024,Current-year actual column.
postsec_grants_2023_ar2024,postsec_operating_grants,2023,2023-24,2010.49,actual,,department_programs_2022_onward,ae_ar_2024,"PDF p104, Funding Provided to Post-Secondary Institutions table, Operating Grants 2024 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2027.53,17.04,2024,Comparative column; may be restated.
